participant_id	question_1	question_2	question_3	question_4	question_5	question_6	question_7	question_8	question_9	question_10	question_11	question_12	question_13	question_14	question_15	question_16
s102	0.5	1.5	1.5	1	0	0.5	1	3	1	1.5	1	1.5	1.5	1	3	1.5
s103	1.5	2	1.5	0.5	0	2	0	1.5	0.5	0.5	0	2.5	0.5	0	0.5	1
s105	2	2	1.5	0	0	2	2	3	2	1.5	2	2	1	0.5	2.5	2
s106	2.5	3	1	1	0	2	2.5	3	2.5	1.5	0	2.5	0	2	2.5	2
s107	1.5	2	1.5	1.5	2	2	3	3	2	1.5	3	3	2.5	2	3	3
s108	2.5	1.5	1.5	1	2.5	3	2.5	3	2	1.5	1	3	2.5	1.5	3	0
s110	2.5	1.5	0.5	1.5	2	2	1	3	2	1.5	0	2	0	1.5	3	2.5
s111	2	3	2	3	0	2	3	3	2.5	2	0	3	1.5	1.5	3	1.5
s112	1	1	1.5	1	1	1	0	0	0	1	0	1.5	0	0.5	0.5	0.5
s113	2.5	3	1.5	0.5	2	3	3	3	2	1.5	3	2	1.5	1	3	1
s114	2.5	1.5	2.5	0	0	1.5	0	2	1.5	0.5	0	2	0	0	0.5	1
s116	2.5	2.5	1.5	0	1	2	2	2.5	1	1.5	2	2.5	1.5	2	2.5	0
s118	1.5	2	1	0	0	1.5	0	2.5	1	1.5	1	1.5	0	0	3	0
s120	1	2	1.5	0.5	0.5	1.5	1	2.5	1	0.5	1	1.5	0	0.5	3	0
s121	1	0.5	1.5	0.5	0	0	0	1	0	1.5	0	2	0.5	0.5	2.5	0
s122	1.5	3	1.5	0	0	1	0	1	0	1.5	0	0	0.5	0	0.5	0
s125	1.5	2	1.5	0.5	0	2	1	3	2.5	1	1.5	1	0	2	3	3
s126	2.5	3	0	0	2.5	2	2.5	2.5	3	3	2	2.5	1	2	3	0
s127	2	2	1.5	0	0	1	2.5	2.5	2	1.5	0	2	0	0.5	2.5	0
s129	2.5	2	2	2	2	1.5	0.5	2	2	1.5	1	2.5	0	1	3	0
s201	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
s213	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
s214	2	3	2	2	2	3	1	3	2	0	2	2	0	3	3	3
s215	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3
s216	1	2	3	3	0	3	3	2	2	0	2	3	3	2	3	3
